Date,SPINDEX,DIVIDEND,CPI,X10yrgovbondyield,Price_r,Dividend_r
1954.07,30.13,1.46,26.9,2.3,263.94,12.76
1954.08,30.73,1.46,26.9,2.36,269.2,12.82
1954.09,31.45,1.47,26.8,2.38,276.53,12.93
1954.1,32.18,1.49,26.8,2.43,282.95,13.13
1954.11,33.44,1.52,26.8,2.48,294.03,13.34
1954.12,34.97,1.54,26.7,2.51,308.63,13.59
1955.01,35.6,1.55,26.7,2.61,314.19,13.65
1955.02,36.79,1.55,26.7,2.65,324.7,13.71
1955.03,36.5,1.56,26.7,2.68,322.14,13.77
1955.04,37.76,1.56,26.7,2.75,333.26,13.8
1955.05,37.6,1.57,26.7,2.76,331.85,13.83
1955.06,39.78,1.57,26.7,2.78,351.09,13.86
1955.07,42.69,1.59,26.8,2.9,375.36,13.95
1955.08,42.43,1.6,26.8,2.97,373.08,14.1
1955.09,44.34,1.62,26.9,2.97,388.42,14.19
1955.1,42.11,1.63,26.9,2.88,368.89,14.25
1955.11,44.95,1.63,26.9,2.89,393.77,14.31
1955.12,45.37,1.64,26.8,2.96,398.93,14.42
1956.01,44.15,1.67,26.8,2.9,388.2,14.68
1956.02,44.43,1.7,26.8,2.84,390.66,14.95
1956.03,47.49,1.73,26.8,2.96,417.57,15.21
1956.04,48.05,1.75,26.9,3.18,420.92,15.36
1956.05,46.54,1.78,27,3.07,406.18,15.51
1956.06,46.27,1.8,27.2,3,400.86,15.59
1956.07,48.78,1.81,27.4,3.11,419.52,15.6
1956.08,48.49,1.83,27.3,3.33,418.55,15.77
1956.09,46.84,1.84,27.4,3.38,402.83,15.82
1956.1,46.24,1.81,27.5,3.34,396.23,15.48
1956.11,45.76,1.77,27.5,3.49,392.11,15.2
1956.12,46.44,1.74,27.6,3.59,396.5,14.86
1957.01,45.43,1.74,27.6,3.46,387.88,14.83
1957.02,43.47,1.73,27.7,3.34,369.8,14.75
1957.03,44.03,1.73,27.8,3.41,373.22,14.66
1957.04,45.05,1.73,27.9,3.48,380.5,14.61
1957.05,46.78,1.73,28,3.6,393.7,14.56
1957.06,47.55,1.73,28.1,3.8,398.75,14.51
1957.07,48.51,1.74,28.3,3.93,403.93,14.49
1957.08,45.84,1.75,28.3,3.93,381.7,14.57
1957.09,43.98,1.76,28.3,3.92,366.21,14.66
1957.1,41.24,1.77,28.3,3.97,343.39,14.74
1957.11,40.35,1.78,28.4,3.72,334.8,14.77
1957.12,40.33,1.79,28.4,3.21,334.63,14.85
1958.01,41.12,1.78,28.6,3.09,338.8,14.69
1958.02,41.26,1.78,28.6,3.05,339.96,14.64
1958.03,42.11,1.77,28.8,2.98,344.55,14.48
1958.04,42.34,1.76,28.9,2.88,345.23,14.32
1958.05,43.7,1.74,28.9,2.92,356.32,14.21
1958.06,44.75,1.73,28.9,2.97,364.88,14.11
1958.07,45.98,1.73,29,3.2,373.62,14.06
1958.08,47.7,1.73,28.9,3.54,388.94,14.11
1958.09,48.96,1.73,28.9,3.76,399.21,14.11
1958.1,50.95,1.74,28.9,3.8,415.44,14.16
1958.11,52.5,1.74,29,3.74,426.6,14.17
1958.12,53.49,1.75,28.9,3.86,436.15,14.27
1959.01,55.62,1.76,29,4.02,451.95,14.27
1959.02,54.77,1.76,28.9,3.96,446.59,14.38
1959.03,56.16,1.77,28.9,3.99,457.92,14.43
1959.04,57.1,1.78,29,4.12,463.98,14.44
1959.05,57.96,1.78,29,4.31,470.97,14.49
1959.06,57.46,1.79,29.1,4.34,465.3,14.5
1959.07,59.74,1.8,29.2,4.4,482.11,14.5
1959.08,59.4,1.8,29.2,4.43,479.36,14.55
1959.09,57.05,1.81,29.3,4.68,458.83,14.56
1959.1,57,1.82,29.4,4.53,456.86,14.56
1959.11,57.23,1.82,29.4,4.53,458.71,14.61
1959.12,59.06,1.83,29.4,4.69,473.38,14.67
1960.01,58.03,1.87,29.3,4.72,466.71,15.01
1960.02,55.78,1.9,29.4,4.49,447.09,15.26
1960.03,55.02,1.94,29.4,4.25,440.99,15.55
1960.04,55.73,1.94,29.5,4.28,445.17,15.52
1960.05,55.22,1.95,29.5,4.35,441.1,15.55
1960.06,57.26,1.95,29.6,4.15,455.85,15.52
1960.07,55.84,1.95,29.6,3.9,444.54,15.52
1960.08,56.51,1.95,29.6,3.8,449.88,15.52
1960.09,54.81,1.95,29.6,3.8,436.34,15.52
1960.1,53.73,1.95,29.8,3.89,424.87,15.42
1960.11,55.47,1.95,29.8,3.93,438.63,15.42
1960.12,56.8,1.95,29.8,3.84,449.15,15.42
1961.01,59.72,1.95,29.8,3.84,472.24,15.39
1961.02,62.17,1.94,29.8,3.78,491.61,15.37
1961.03,64.12,1.94,29.8,3.74,507.03,15.34
1961.04,65.83,1.94,29.8,3.78,520.56,15.34
1961.05,66.5,1.94,29.8,3.71,525.85,15.34
1961.06,65.62,1.94,29.8,3.88,518.9,15.34
1961.07,65.44,1.95,30,3.92,514.02,15.29
1961.08,67.79,1.95,29.9,4.04,534.26,15.39
1961.09,67.26,1.96,30,3.98,528.32,15.4
1961.1,68,1.98,30,3.92,534.13,15.55
1961.11,71.08,2,30,3.94,558.32,15.71
1961.12,71.74,2.02,30,4.06,563.51,15.87
1962.01,69.07,2.03,30,4.08,542.54,15.92
1962.02,70.22,2.03,30.1,4.04,549.74,15.92
1962.03,70.29,2.04,30.1,3.93,550.28,15.97
1962.04,68.05,2.05,30.2,3.84,530.98,15.97
1962.05,62.99,2.05,30.2,3.87,491.5,16.02
1962.06,55.63,2.06,30.2,3.91,434.07,16.07
1962.07,56.97,2.07,30.3,4.01,443.06,16.07
1962.08,58.52,2.07,30.3,3.98,455.12,16.12
1962.09,58,2.08,30.4,3.98,449.59,16.12
1962.1,56.17,2.1,30.4,3.93,435.4,16.25
1962.11,60.04,2.11,30.4,3.92,465.4,16.38
1962.12,62.64,2.13,30.4,3.86,485.55,16.51
1963.01,65.06,2.14,30.4,3.83,504.31,16.56
1963.02,65.92,2.14,30.4,3.92,510.98,16.61
1963.03,65.67,2.15,30.5,3.93,507.37,16.61
1963.04,68.76,2.17,30.5,3.97,531.25,16.74
1963.05,70.14,2.18,30.5,3.93,541.91,16.87
1963.06,70.11,2.2,30.6,3.99,539.91,16.94
1963.07,69.07,2.2,30.7,4.02,530.17,16.91
1963.08,70.98,2.21,30.7,4,544.83,16.94
1963.09,72.85,2.21,30.7,4.08,559.18,16.96
1963.1,73.03,2.23,30.8,4.11,558.74,17.09
1963.11,72.62,2.26,30.8,4.12,555.6,17.27
1963.12,74.17,2.28,30.9,4.13,565.63,17.39
1964.01,76.45,2.3,30.9,4.17,583.01,17.51
1964.02,77.39,2.31,30.9,4.15,590.18,17.64
1964.03,78.8,2.33,30.9,4.22,600.94,17.77
1964.04,79.94,2.35,30.9,4.23,609.63,17.9
1964.05,80.72,2.36,30.9,4.2,615.58,18.02
1964.06,80.24,2.38,31,4.17,609.94,18.09
1964.07,83.22,2.4,31.1,4.19,630.56,18.18
1964.08,82,2.42,31,4.19,623.32,18.4
1964.09,83.41,2.44,31.1,4.2,632,18.49
1964.1,84.85,2.46,31.1,4.19,642.91,18.64
1964.11,85.44,2.48,31.2,4.15,645.31,18.73
1964.12,83.96,2.5,31.2,4.18,634.13,18.88
1965.01,86.12,2.52,31.2,4.19,650.44,19.01
1965.02,86.75,2.53,31.2,4.21,655.2,19.13
1965.03,86.83,2.55,31.3,4.21,653.71,19.2
1965.04,87.97,2.57,31.4,4.2,660.18,19.29
1965.05,89.28,2.59,31.4,4.21,670.02,19.44
1965.06,85.04,2.61,31.6,4.21,634.16,19.46
1965.07,84.91,2.63,31.6,4.2,633.19,19.59
1965.08,86.49,2.64,31.6,4.25,644.97,19.71
1965.09,89.38,2.66,31.6,4.29,666.52,19.84
1965.1,91.39,2.68,31.7,4.35,679.36,19.92
1965.11,92.15,2.7,31.7,4.45,685.01,20.07
1965.12,91.73,2.72,31.8,4.62,679.74,20.16
1966.01,93.32,2.74,31.8,4.61,691.52,20.3
1966.02,92.69,2.76,32,4.83,682.56,20.32
1966.03,88.88,2.78,32.1,4.87,652.47,20.41
1966.04,91.6,2.8,32.3,4.75,668.27,20.4
1966.05,86.78,2.81,32.3,4.78,633.11,20.52
1966.06,86.06,2.83,32.4,4.81,625.92,20.58
1966.07,85.84,2.85,32.5,5.02,622.4,20.66
1966.08,80.65,2.87,32.7,5.22,581.19,20.68
1966.09,77.81,2.89,32.7,5.18,560.72,20.83
1966.1,77.13,2.88,32.9,5.01,552.44,20.65
1966.11,80.99,2.88,32.9,5.16,580.09,20.6
1966.12,81.33,2.87,32.9,4.84,582.53,20.56
1967.01,84.45,2.88,32.9,4.58,604.87,20.63
1967.02,87.36,2.89,32.9,4.63,625.72,20.7
1967.03,89.42,2.9,33,4.54,638.53,20.71
1967.04,90.96,2.9,33.1,4.59,647.56,20.65
1967.05,92.59,2.9,33.2,4.85,657.18,20.58
1967.06,91.43,2.9,33.3,5.02,647,20.52
1967.07,93.01,2.91,33.4,5.16,656.21,20.51
1967.08,94.49,2.91,33.5,5.28,664.66,20.49
1967.09,95.81,2.92,33.6,5.3,671.94,20.48
1967.1,95.66,2.92,33.7,5.48,668.9,20.42
1967.11,92.66,2.92,33.8,5.75,646,20.36
1967.12,95.3,2.92,33.9,5.7,662.45,20.3
